otu	name	value
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.210	106576
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.211	0
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.212	40956
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.213	0
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.214	23792
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.215	494
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.241	0
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.242	1658
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.243	17430
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.244	36460
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.245	0
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.246	0
OTU_1_(Ramazzottius_aff._varieornatus_MW306837)	IT.247	0
OTU_11_Parachela	IT.210	0
OTU_11_Parachela	IT.211	0
OTU_11_Parachela	IT.212	0
OTU_11_Parachela	IT.213	0
OTU_11_Parachela	IT.214	0
OTU_11_Parachela	IT.215	0
OTU_11_Parachela	IT.241	0
OTU_11_Parachela	IT.242	0
OTU_11_Parachela	IT.243	7770
OTU_11_Parachela	IT.244	7468
OTU_11_Parachela	IT.245	0
OTU_11_Parachela	IT.246	0
OTU_11_Parachela	IT.247	0
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.210	0
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.211	0
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.212	0
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.213	0
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.214	0
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.215	6953
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.241	0
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.242	1407
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.243	1126
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.244	1079
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.245	522
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.246	0
OTU_20_(Macrobiotus_cf._sapiens_OK662997)	IT.247	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.210	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.211	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.212	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.213	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.214	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.215	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.241	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.242	70
OTU_743_(Ramazzottius_sp._MW306832)	IT.243	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.244	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.245	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.246	0
OTU_743_(Ramazzottius_sp._MW306832)	IT.247	0
