sample	name	value	type
IT.210	Tardigrada	0.831138042096562	a_tax
IT.211	Tardigrada	0	a_tax
IT.212	Tardigrada	0.458166929556667	a_tax
IT.213	Tardigrada	0	a_tax
IT.214	Tardigrada	0.41398270432044	a_tax
IT.215	Tardigrada	0.193222801691705	a_tax
IT.241	Tardigrada	0	a_tax
IT.242	Tardigrada	0.0556868039149511	a_tax
IT.243	Tardigrada	0.280652004733324	a_tax
IT.244	Tardigrada	0.253753559044907	a_tax
IT.245	Tardigrada	0.00736154789942038	a_tax
IT.246	Tardigrada	0	a_tax
IT.247	Tardigrada	0	a_tax
IT.210	Others	0.168861957903438	a_tax
IT.211	Others	1	a_tax
IT.212	Others	0.541833070443333	a_tax
IT.213	Others	1	a_tax
IT.214	Others	0.58601729567956	a_tax
IT.215	Others	0.806777198308295	a_tax
IT.241	Others	1	a_tax
IT.242	Others	0.944313196085049	a_tax
IT.243	Others	0.719347995266676	a_tax
IT.244	Others	0.746246440955093	a_tax
IT.245	Others	0.99263845210058	a_tax
IT.246	Others	1	a_tax
IT.247	Others	1	a_tax
IT.210	Tardigrada	0.939976801787755	density
IT.210	Others	0.0600231982122453	density
IT.211	Tardigrada	0.146646826167939	density
IT.211	Others	0.853353173832061	density
IT.212	Tardigrada	0.68176528832033	density
IT.212	Others	0.31823471167967	density
IT.213	Tardigrada	0.06853946231592	density
IT.213	Others	0.93146053768408	density
IT.214	Tardigrada	0.598002670798875	density
IT.214	Others	0.401997329201125	density
IT.215	Tardigrada	0.508023678263226	density
IT.215	Others	0.491976321736774	density
IT.241	Tardigrada	0	density
IT.241	Others	1	density
IT.242	Tardigrada	0.393101716889514	density
IT.242	Others	0.606898283110486	density
IT.243	Tardigrada	0.670536269093458	density
IT.243	Others	0.329463730906542	density
IT.244	Tardigrada	0.620639794442621	density
IT.244	Others	0.379360205557379	density
IT.245	Tardigrada	0.401110516565181	density
IT.245	Others	0.598889483434819	density
IT.246	Tardigrada	0	density
IT.246	Others	1	density
IT.247	Tardigrada	0	density
IT.247	Others	1	density
