sample	type	T_density	lat	lon
IT.210	sample	5752.17	44.572220	11.156300
IT.211	sample	2.86	44.623344	11.175300
IT.212	sample	532.41	44.578196	11.173034
IT.213	sample	0.88	44.578196	11.173034
IT.214	sample	245.61	44.578252	11.175990
IT.215	sample	106.67	44.591918	11.181317
IT.241	sample	0	44.592150	11.179160
IT.242	sample	36.36	44.592823	11.135065
IT.243	sample	480	44.592823	11.135065
IT.244	sample	302.78	44.592823	11.135065
IT.245	sample	39.22	44.592823	11.135065
IT.246	sample	0	44.614437	11.145364
IT.247	sample	0	44.614437	11.145364
BL.001	blank			
